# note: fix inconsistency with [l / y] in ~100 words. some words should be <l y> in single syllable.
# note: fix inconsistency with [* / r] in ~100 words. some words should be <* r> in single syllable.

I                                            ay
abusive                                      ax / b y uw / s ih v
abut                                         ax / b ah t
abutment                                     ax / b ah t / m ax n t
abuzz                                        ax / b ah z
abysmal                                      ax / b ih z / m ax l
abysmally                                    ax / b ih z / m ax / l iy
abyss                                        ax / b ih s
abyssal                                      ax / b ih / s ax l
abysses                                      ax / b ih s
ac                                           ey / s iy
acacia                                       ax / k ey / sh ax
academe                                      ae / k ax / d iy m
academia                                     ae / k ax / d iy / m iy / ax
academic                                     ae / k ax / d eh / m ih k
academically                                 ae / k ax / d eh / m ih / k ax / l iy
academician                                  ax / k ae / d ax / m ih / sh ax n
academics                                    ae / k ax / d eh / m ih k s
academy                                      ax / k ae / d ax / m iy
accede                                       ax k / s iy d
accelerant                                   ax k / s eh / l er / ax n t
accelerate                                   ax k / s eh / l er / ey t
acceleration                                 ax k / s eh / l ax / r ey / sh ax n
accelerator                                  ax k / s eh / l er / ey / dx er
accelerometer                                ax k / s eh / l ax / r aa / m ax / dx er
accent                                       ae k / s ax n t
accentuate                                   ax k / s eh n / t sh uw / ey t
accentuation                                 ax k / s eh n / t sh uw / ey / sh ax n
accept                                       ax k / s eh p t
acceptability                                ax k / s eh p / t ax / b ih / l ax / dx iy
acceptable                                   ax k / s eh p / t ax / b ax l
acceptance                                   ax k / s eh p / t ax n s
acceptances                                  ax k / s eh p / t ax n s
accepter                                     ax k / s eh p / t er
accepting                                    ax k / s eh p / t ih ng
acceptor                                     ax k / s eh p / t er
access                                       ae k / s eh s
accesses                                     ae k / s eh s
accessibility                                ax k / s eh / s ax / b ih / l ax / dx iy
accessible                                   ax k / s eh / s ax / b ax l
accession                                    ax k / s eh / sh ax n
accessorise                                  ax k / s eh / s er / ay z
accessorius                                  ae k / s eh / s ao / r iy / ax s
accessorize                                  ax k / s eh / s er / ay z
accessory                                    ax k / s eh / s er / iy
accident                                     ae k / s ax / d ax n t
accidental                                   ae k / s ax / d eh n / dx ax l
accidentally                                 ae k / s ax / d eh n / dx ax / l iy
acclaim                                      ax / k l ey m
acclamation                                  ae k / l ax / m ey / sh ax n
acclimate                                    ae k / l ax / m ey t
acclimatisation                              ax / k l ay / m ax / dx ax / z ey / sh ax n
acclimatise                                  ax / k l ay / m ax / dx ay z
acclimatization                              ax / k l ay / m ax / dx ax / z ey / sh ax n
acclimatize                                  ax / k l ay / m ax / dx ay z
acclimatizes                                 ax / k l ay / m ax / dx ay z
acclivity                                    ax / k l ih / v ax / dx iy
accolade                                     ae / k ax / l ey d
accommodate                                  ax / k aa / m ax / d ey t
accommodating                                ax / k aa / m ax / d ey / dx ih ng
accommodation                                ax / k aa / m ax / d ey / sh ax n
accommodations                               ax / k aa / m ax / d ey / sh ax n z
accompaniment                                ax / k ah m / p ax / n ih / m ax n t
accompanist                                  ax / k ah m / p ax / n ih s t
accompany                                    ax / k ah m / p ax / n iy
accompanying                                 ax / k ah m / p ax / n iy / ih ng
accomplice                                   ax / k aa m / p l ih s
accomplices                                  ax / k aa m / p l ih s
accomplish                                   ax / k aa m / p l ih sh
accomplishment                               ax / k aa m / p l ih sh / m ax n t
accord                                       ax / k ao r d
accordance                                   ax / k ao r / d ax n s
accordances                                  ax / k ao r / d ax n s
accordingly                                  ax / k ao r / d ih ng / l iy
accordion                                    ax / k ao r / d iy / ax n
accost                                       ax / k aa s t
account                                      ax / k aw n t
accountability                               ax / k aw n / dx ax / b ih / l ax / dx iy
accountable                                  ax / k aw n / dx ax / b ax l
accountancy                                  ax / k aw n / dx ax n / s iy
accountant                                   ax / k aw n / dx ax n t
accounting                                   ax / k aw n / dx ih ng
accounts                                     ax / k aw n t s
accouterments                                ax / k uw / dx er / m ax n t s
accoutrements                                ax / k uw / dx er / m ax n t s
accra                                        ax / k r aa
accredit                                     ax / k r eh / d ih t
accreditation                                ax / k r eh / d ax / t ey / sh ax n
accrete                                      ax / k r iy t
accretion                                    ax / k r iy / sh ax n
accrual                                      ax / k r uw / ax l
accrue                                       ax / k r uw
acculturate                                  ax / k ah l / t sh ax / r ey t
acculturation                                ax / k ah l / t sh ax / r ey / sh ax n
accumulate                                   ax / k y uw / m y ax / l ey t
accumulation                                 ax / k y uw / m y ax / l ey / sh ax n
accumulative                                 ax / k y uw / m y ax / l ax / dx ih v
accumulator                                  ax / k y uw / m y ax / l ey / dx er
accuracy                                     ae k / y er / ax / s iy
accurate                                     ae k / y er / ax t
accurately                                   ae k / y er / ax t / l iy
accusation                                   ae k / y ax / z ey / sh ax n
accusative                                   ax / k y uw / z ax / dx ih v
accusatory                                   ax / k y uw / z ax / t ao / r iy
accuse                                       ax / k y uw z
accuser                                      ax / k y uw / z er
accuses                                      ax / k y uw z
accusing                                     ax / k y uw / z ih ng
accusingly                                   ax / k y uw / z ih ng / l iy
accustom                                     ax / k ah· s t ax m
ace                                          ey s
acephalous                                   ey / s eh / f ax / l ax s
acer                                         ey / s er
acerbic                                      ax / s er / b ih k
acerbity                                     ax / s er / b ax / dx iy
aces                                         ey s
acetabular                                   ae / s ih / t ae b / y ax / l er
acetabulum                                   ae / s ax / t ae b / y ax / l ax m
acetaminophen                                ax / s iy / dx ax / m ih / n ax / f eh n
acetate                                      ae / s ax / t ey t
acetone                                      ae / s ax / dx ow n
acetylene                                    ax / s eh / dx ax / l iy n
achalasia                                    ae / k ax / l ey / zh ax
ache                                         ey k
achievable                                   ax / t sh iy / v ax / b ax l
achieve                                      ax / t sh iy v
achievement                                  ax / t sh iy v / m ax n t
achiever                                     ax / t sh iy / v er
achingly                                     ey / k ih ng / l iy
achkan                                       ae t sh / k ax n
achoo                                        ax / t sh uw
achy                                         ey / k iy
acid                                         ae / s ih d
acidic                                       ax / s ih / d ih k
acidification                                ax / s ih / d ih / f ih / k ey / sh ax n
acidify                                      ax / s ih / d ax / f ay
acidity                                      ax / s ih / d ax / dx iy
acidly                                       ae / s ih d / l iy
acidophilus                                  ae / s ax / d aa / f ax / l ax s
acidulous                                    ax / s ih / d zh ax / l ax s
ackee                                        ae / k iy
acknowledge                                  ax k / n aa / l ih d zh
acknowledgment                               ax k / n aa / l ih d zh / m ax n t
acme                                         ae k / m iy
acne                                         ae k / n iy
acolyte                                      ae / k ax / l ay t
acorn                                        ey / k ao r n
acoustic                                     ax / k uw / s t ih k
acoustically                                 ax / k uw / s t ih / k ax / l iy
acoustics                                    ax / k uw / s t ih k s
acquaint                                     ax / k w ey n t
acquaintance                                 ax / k w ey n / t ax n s
acquaintances                                ax / k w ey n / t ax n s
acquaintanceship                             ax / k w ey n / t ax n s / sh ih p
acquiesce                                    ae k / w iy / eh s
acquiescence                                 ae k / w iy / eh / s ax n s
acquiescent                                  ae k / w iy / eh / s ax n t
acquiesces                                   ae k / w iy / eh s
